product_id,sku,post_title,total_sales,price
4086,16013,Rimauresq Côtes de Provence Blanc Cru Classé 2019,4.0,16.4
4071,15953,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,19.0,33.2
5611,15945,Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018,1.0,63.4
4074,15941,Domaine de la Jérôme Côtes du Rhône Village 201,4.0,12.7
5693,15812,Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018,11.0,13.0
6632,15794,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,1.0,52.7
6928,15741,Le Cèdre de Jean Faure Saint-Emilion 2016,2.0,19.0
4728,15729,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,2.0,29.5
4211,15714,Lucien Boillot Pommard 2017,1.0,48.5
4159,15668,Planeta Sicilia La Segreta Bianco 2017,3.0,9.3
6280,15654,Borie de Maurel Minervois Blanc La Belle Aude 2018,0.0,10.4
4564,15621,Domaine Giudicelli Vin de France Eté Rouge 2018,19.0,21.7
4926,15456,Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,0.0,7.9
5767,15185,Camille Giroud Clos de Vougeot 2016,0.0,175.0
4265,15136,Domaine Bulliat Beaujolais Villages Bibine 2018,3.0,9.6
4260,14945,Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017,2.0,12.2
4903,14805,Domaine Des Croix Corton Grand Cru Les Grèves 2017,0.0,102.3
5019,14696,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,0.0,19.8
5690,14647,Domaine Hauvette IGP Alpilles Dolia 2012,0.0,44.6
4908,14395,Alphonse Mellot Sancerre Blanc Edmond 2016,4.0,53.2
5026,13913,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,0.0,86.8
4235,13905,Maroc Graillot/Thaleb Tandem Syrah 2015,1.0,17.1
4783,13754,Maurice Schoech Pinot Gris Vendanges Tardives 2015,0.0,29.5
4573,13604,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,0.0,67.2
4053,13127,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,23.0,44.3
4219,12599,Domaine de l'Ecu Muscadet Orthogneiss 2014,1.0,16.7
4355,12589,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,11.0,126.5
4364,11585,Wemyss Malts Blended Malt Scotch Whisky The Hive,1.0,49.5
4636,2361,Marcel Windholtz Eau de Vie de Framboise d'Alsace,1.0,50.0
7247,13127-1,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,0.0,54.8
5563,19821,Tempier Bandol Tourtine 2017,0.0,58.0
4032,19814,Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018,3.0,14.1
4782,16564,Paul Ginglinger Pinot Blanc 2017,3.0,9.8
