product_id,sku,post_title,total_sales,price,z_score
4716,15657,Domaine Schoenheitz Pinot Gris Herrenreben 2017,0.0,18.6,-0.4995640065660839
4176,15629,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,9.0,13.5,-0.6829478159060577
4670,15525,Domaine Pellé Menetou Salon Blanc Morogues 2018,2.0,17.0,-0.5570961820452914
4163,15482,Parés Baltà Penedès Calcari 2018,3.0,10.8,-0.7800333620272203
6573,15473,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,1.0,68.3,1.287529194256798
4566,15457,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,0.0,28.5,-0.14358367078848772
4070,15444,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,7.0,23.4,-0.32696748012846155
6585,15434,La Préceptorie Côtes du Roussillon Blanc Terres Nouvelles 2018,0.0,19.0,-0.4851809626962821
6753,15256,Château Simone Palette Rouge 2015,0.0,46.5,0.5036533033525963
5820,15240,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,0.0,63.5,1.1149326678191755
4715,15196,Domaine Schoenheitz Pinot Blanc Val Saint Grégoire 2017,0.0,11.1,-0.7692460791248689
4885,14981,Saumaize-Michelin Mâcon Vergisson Sur La Roche 2017,0.0,18.7,-0.4959682455986335
4043,14980,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,3.0,60.0,0.9890810339584093
4726,14950,François Baur Pinot Noir Schlittweg 2017,4.0,12.7,-0.7117139036456614
4400,14768,Cognac Frapin 1270,0.0,44.0,0.4137592791663346
5573,14729,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,0.0,34.7,0.07935350919344132
5448,14469,Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,0.0,7.2,-0.9094807568554372
5554,13969,Thierry Germain Saumur-Champigny Clos de l'Echelier 2017,0.0,38.0,0.19801362111930662
5445,12194,La Préceptorie Maury Blanc 2015,0.0,16.3,-0.5822665088174447
4619,11049,Alphonse Mellot Sancerre Rouge En Grands Champs 2012,0.0,59.0,0.9531234242839046
4253,6616,Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008,0.0,59.6,0.9746979900886075
6206,16580,Domaine Giudicelli Patrimonio Blanc 2019,41.0,25.2,-0.26224378271435317
4858,16342,Château Turcaud Bordeaux Rosé 2019,1.0,6.5,-0.9346510836275904
4062,16320,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,3.0,11.9,-0.7404799913852652
4152,16238,Elian Daros Côtes du Marmandais Chante Coucou 2016,7.0,19.2,-0.47798944076138117
4153,16237,Elian Daros Côtes du Marmandais Clos Baquey 2015,36.0,29.0,-0.12560486595123538
5779,16213,Maurel Pays d'Oc Syrah 2019,8.0,5.8,-0.9598214103997437
4095,16120,Paul Ginglinger Muscat Caroline 2018,4.0,12.6,-0.7153096646131119
6615,16071,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,0.0,32.8,0.011034050811882244
6666,16067,Domaine Hauvette IGP Alpilles Dolia 2013,0.0,48.5,0.5755685227016056
4042,16042,Pierre Gaillard Cornas 2017,7.0,31.2,-0.04649812466732515
6617,16031,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,6.0,9.9,-0.8123952107342746
5609,15930,Domaine Weinbach Riesling Cuvée Colette 2018,2.0,38.6,0.21958818692400947
5524,15864,Domaine Chambeyron Condrieu Vernon 2018,1.0,38.6,0.21958818692400947
6137,15834,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,2.0,46.0,0.48567449851534394
5891,15774,Saumaize-Michelin Viré-Clessé 2018,1.0,19.0,-0.4851809626962821
5484,15756,David-Beaupère Juliénas Vayolette 2017,1.0,21.6,-0.3916911775425699
4300,15567,Domaine de La Tour Du Bon Bandol Rouge En Sol 2017,1.0,44.0,0.4137592791663346
4096,15564,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,0.0,22.8,-0.3485420459331643
4927,15425,Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018,4.0,6.5,-0.9346510836275904
5925,15351,Albert Mann Riesling Grand Cru Furstentum 2017,2.0,49.5,0.6115261323761103
5067,15346,Albert Mann Pinot Noir Grand H 2017,16.0,59.9,0.9854852729909588
5815,15238,Maison Trimbach Muscat Réserve 2017,1.0,16.6,-0.5714792259150933
6621,15204,Thierry Germain Saumur-Champigny La Marginale 2018,3.0,35.2,0.09733231403069365
5770,15178,Camille Giroud Santenay Blanc 2017,4.0,34.4,0.06856622629108976
6227,15163,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,1.0,40.2,0.27712036240321697
6225,15162,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,4.0,20.4,-0.4348403091519756
6050,15134,Christophe Pichon Condrieu 2017,0.0,38.5,0.21599242595655896
5704,15036,Domaine de l'Ecu Muscadet Gneiss 2015,0.0,16.9,-0.560691943012742
4613,15030,Gilbert Picq Chablis 2017,9.0,16.9,-0.560691943012742
4704,15004,Albert Mann Gewurztraminer 2017,3.0,18.2,-0.5139470504358858
5544,14828,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,0.0,61.6,1.0466132094376168
5002,14580,David Duband Morey-Saint-Denis 1er Cru Les Broc 2016,0.0,64.9,1.1652733213634823
4779,14300,Clos du Mont-Olivet Vin de France La Sabonite,18.0,7.8,-0.8879061910507343
6101,14089,Stéphane Tissot Arbois Blanc La Mailloche 2016,0.0,36.9,0.15846025047735143
4271,13460,Domaine Sérol Côte Roannaise Perdrizière 2016,0.0,16.6,-0.5714792259150933
4303,13172,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,0.0,30.0,-0.08964725627673072
5905,12881,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,2.0,43.9,0.4101635181988841
4353,12587,Champagne Egly-Ouriet Grand Cru Brut Rosé,3.0,79.5,1.6902544226112504
4392,11586,Wemyss Malts Blended Malt Scotch Whisky Spice King,0.0,49.5,0.6115261323761103
4334,7818,Champagne Gosset Grand Blanc de Blancs,96.0,49.0,0.593547327538858
4150,1366,Champagne Mailly Grand Cru Intemporelle 2010,1.0,59.0,0.9531234242839046
4630,793,Marcel Windholtz Eau de Vie de Coing,4.0,62.4,1.0753792971772205
5561,19820,Tempier Bandol Migoua 2017,0.0,58.0,0.9171658146093999
6205,16565,Domaine Giudicelli Vin de France Corail Rouge 2019,0.0,20.2,-0.4420318310868765
4181,16560,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,9.0,11.9,-0.7404799913852652
4103,16505,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,12.0,16.3,-0.5822665088174447
4225,16497,Pierre Martin Sancerre Chavignol Blanc 2019,13.0,16.9,-0.560691943012742
4931,16280,Marcel Richaud Cairanne Rouge L'Ebrescade 2017,0.0,27.8,-0.16875399756064097
4172,16210,Maurel Pays d'Oc Chardonnay 2019,43.0,5.7,-0.9634171713671942
4179,16166,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,7.0,24.0,-0.3053929143237587
4870,16149,Triennes IGP Méditerranée Rosé 2019,33.0,9.3,-0.8339697765389773
6620,16046,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005,0.0,51.0,0.6654625468878673
4889,16037,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,0.0,25.3,-0.25864802174690266
4207,16023,Domaine Montrose Côtes de Thongue Rouge 2018,5.0,6.7,-0.9274595616926895
4086,16013,Rimauresq Côtes de Provence Blanc Cru Classé 2019,4.0,16.4,-0.5786707478499943
4071,15953,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,19.0,33.2,0.025417094681684314
5611,15945,Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018,1.0,63.4,1.1113369068517251
4074,15941,Domaine de la Jérôme Côtes du Rhône Village 201,4.0,12.7,-0.7117139036456614
5693,15812,Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018,11.0,13.0,-0.70092662074331
6632,15794,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,1.0,52.7,0.7265904833345254
6928,15741,Le Cèdre de Jean Faure Saint-Emilion 2016,2.0,19.0,-0.4851809626962821
4728,15729,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,2.0,29.5,-0.10762606111398305
4211,15714,Lucien Boillot Pommard 2017,1.0,48.5,0.5755685227016056
4159,15668,Planeta Sicilia La Segreta Bianco 2017,3.0,9.3,-0.8339697765389773
6280,15654,Borie de Maurel Minervois Blanc La Belle Aude 2018,0.0,10.4,-0.7944164058970222
4564,15621,Domaine Giudicelli Vin de France Eté Rouge 2018,19.0,21.7,-0.3880954165751195
4926,15456,Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,0.0,7.9,-0.8843104300832839
4265,15136,Domaine Bulliat Beaujolais Villages Bibine 2018,3.0,9.6,-0.8231824936366259
4260,14945,Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017,2.0,12.2,-0.7296927084829138
5019,14696,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,0.0,19.8,-0.4564148749566783
5690,14647,Domaine Hauvette IGP Alpilles Dolia 2012,0.0,44.6,0.4353338449710375
4908,14395,Alphonse Mellot Sancerre Blanc Edmond 2016,4.0,53.2,0.7445692881717777
