product_id,post_title,price,total_sales,ca_produit
4858,Château Turcaud Bordeaux Rosé 2019,6.5,1.0,6.5
4062,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,11.9,3.0,35.7
4152,Elian Daros Côtes du Marmandais Chante Coucou 2016,19.2,7.0,134.4
4153,Elian Daros Côtes du Marmandais Clos Baquey 2015,29.0,36.0,1044.0
5779,Maurel Pays d'Oc Syrah 2019,5.8,8.0,46.4
4095,Paul Ginglinger Muscat Caroline 2018,12.6,4.0,50.4
6615,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,32.8,0.0,0.0
6666,Domaine Hauvette IGP Alpilles Dolia 2013,48.5,0.0,0.0
4042,Pierre Gaillard Cornas 2017,31.2,7.0,218.4
6617,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,9.9,6.0,59.400000000000006
5609,Domaine Weinbach Riesling Cuvée Colette 2018,38.6,2.0,77.2
5524,Domaine Chambeyron Condrieu Vernon 2018,38.6,1.0,38.6
6137,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,46.0,2.0,92.0
5891,Saumaize-Michelin Viré-Clessé 2018,19.0,1.0,19.0
5484,David-Beaupère Juliénas Vayolette 2017,21.6,1.0,21.6
4300,Domaine de La Tour Du Bon Bandol Rouge En Sol 2017,44.0,1.0,44.0
4096,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,22.8,0.0,0.0
4927,Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018,6.5,4.0,26.0
5925,Albert Mann Riesling Grand Cru Furstentum 2017,49.5,2.0,99.0
5067,Albert Mann Pinot Noir Grand H 2017,59.9,16.0,958.4
5815,Maison Trimbach Muscat Réserve 2017,16.6,1.0,16.6
6621,Thierry Germain Saumur-Champigny La Marginale 2018,35.2,3.0,105.60000000000001
5770,Camille Giroud Santenay Blanc 2017,34.4,4.0,137.6
6227,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,40.2,1.0,40.2
6225,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,20.4,4.0,81.6
6050,Christophe Pichon Condrieu 2017,38.5,0.0,0.0
5704,Domaine de l'Ecu Muscadet Gneiss 2015,16.9,0.0,0.0
4613,Gilbert Picq Chablis 2017,16.9,9.0,152.1
4704,Albert Mann Gewurztraminer 2017,18.2,3.0,54.599999999999994
5544,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,61.6,0.0,0.0
5002,David Duband Morey-Saint-Denis 1er Cru Les Broc 2016,64.9,0.0,0.0
4779,Clos du Mont-Olivet Vin de France La Sabonite,7.8,18.0,140.4
6101,Stéphane Tissot Arbois Blanc La Mailloche 2016,36.9,0.0,0.0
4271,Domaine Sérol Côte Roannaise Perdrizière 2016,16.6,0.0,0.0
4303,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,30.0,0.0,0.0
5905,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,43.9,2.0,87.8
4353,Champagne Egly-Ouriet Grand Cru Brut Rosé,79.5,3.0,238.5
5008,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,105.0,0.0,0.0
4392,Wemyss Malts Blended Malt Scotch Whisky Spice King,49.5,0.0,0.0
4334,Champagne Gosset Grand Blanc de Blancs,49.0,96.0,4704.0
4150,Champagne Mailly Grand Cru Intemporelle 2010,59.0,1.0,59.0
4630,Marcel Windholtz Eau de Vie de Coing,62.4,4.0,249.6
5561,Tempier Bandol Migoua 2017,58.0,0.0,0.0
6205,Domaine Giudicelli Vin de France Corail Rouge 2019,20.2,0.0,0.0
4181,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,11.9,9.0,107.10000000000001
4103,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,16.3,12.0,195.60000000000002
4225,Pierre Martin Sancerre Chavignol Blanc 2019,16.9,13.0,219.7
4931,Marcel Richaud Cairanne Rouge L'Ebrescade 2017,27.8,0.0,0.0
4172,Maurel Pays d'Oc Chardonnay 2019,5.7,43.0,245.1
4179,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,24.0,7.0,168.0
4870,Triennes IGP Méditerranée Rosé 2019,9.3,33.0,306.90000000000003
6620,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005,51.0,0.0,0.0
4889,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,25.3,0.0,0.0
4207,Domaine Montrose Côtes de Thongue Rouge 2018,6.7,5.0,33.5
4086,Rimauresq Côtes de Provence Blanc Cru Classé 2019,16.4,4.0,65.6
4071,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,33.2,19.0,630.8000000000001
5611,Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018,63.4,1.0,63.4
4074,Domaine de la Jérôme Côtes du Rhône Village 201,12.7,4.0,50.8
5693,Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018,13.0,11.0,143.0
6632,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,52.7,1.0,52.7
6928,Le Cèdre de Jean Faure Saint-Emilion 2016,19.0,2.0,38.0
4728,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,29.5,2.0,59.0
4211,Lucien Boillot Pommard 2017,48.5,1.0,48.5
4159,Planeta Sicilia La Segreta Bianco 2017,9.3,3.0,27.900000000000002
6280,Borie de Maurel Minervois Blanc La Belle Aude 2018,10.4,0.0,0.0
4564,Domaine Giudicelli Vin de France Eté Rouge 2018,21.7,19.0,412.3
4926,Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,7.9,0.0,0.0
5767,Camille Giroud Clos de Vougeot 2016,175.0,0.0,0.0
4265,Domaine Bulliat Beaujolais Villages Bibine 2018,9.6,3.0,28.799999999999997
4260,Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017,12.2,2.0,24.4
4903,Domaine Des Croix Corton Grand Cru Les Grèves 2017,102.3,0.0,0.0
5019,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,19.8,0.0,0.0
5690,Domaine Hauvette IGP Alpilles Dolia 2012,44.6,0.0,0.0
4908,Alphonse Mellot Sancerre Blanc Edmond 2016,53.2,4.0,212.8
5026,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,86.8,0.0,0.0
4235,Maroc Graillot/Thaleb Tandem Syrah 2015,17.1,1.0,17.1
4783,Maurice Schoech Pinot Gris Vendanges Tardives 2015,29.5,0.0,0.0
4573,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,0.0,0.0
4053,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,44.3,23.0,1018.9
4219,Domaine de l'Ecu Muscadet Orthogneiss 2014,16.7,1.0,16.7
4355,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,126.5,11.0,1391.5
4364,Wemyss Malts Blended Malt Scotch Whisky The Hive,49.5,1.0,49.5
4636,Marcel Windholtz Eau de Vie de Framboise d'Alsace,50.0,1.0,50.0
4267,Domaine Bulliat Morgon Amphore Cou de Jus 2019,19.0,2.0,38.0
5446,Parcé Frères Banyuls Rimage 2018,16.2,0.0,0.0
4200,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,5.8,46.0,266.8
4191,Château de La Liquière Faugères Les Amandiers Rouge 2019,9.3,12.0,111.60000000000001
4245,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,8.9,1.0,8.9
5904,Domaine de Montbourgeau Côtes du Jura Poulsard 2018,18.8,0.0,0.0
4891,Jacqueson Rully Blanc 1er Cru La Pucelle 2018,27.9,36.0,1004.4
6920,Château Jean Faure Saint-Emilion Grand Cru 2015,50.5,0.0,0.0
4909,Antoine-Marie Arena Vin de France Bianco Gentile 2018,25.9,0.0,0.0
5958,Domaine Labranche Laffont Madiran Tradition 2016,8.7,0.0,0.0
6093,Château de Villeneuve Saumur-Champigny 2017,12.6,1.0,12.6
5069,Albert Mann Pinot Noir Les Saintes Claires 2017,65.0,0.0,0.0
6223,Planeta Sicilia Chardonnay 2017,26.7,6.0,160.2
4679,Domaine Rotier Gaillac Rouge Renaissance 2016,13.2,0.0,0.0
5766,Camille Giroud Auxey-Duresses Blanc 2017,35.6,0.0,0.0
6202,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,116.4,0.0,0.0
4304,Domaine de l'Idylle Savoie Cruet 2018,8.1,0.0,0.0
5736,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,14.9,5.0,74.5
